# SLI Site Index Species; FVS variant site index curve references,,,,,
spp,PN,WC,CA,SO,Notes
DF,king_1966,king_1966,hann_1987,cochran_df_1979,"WC: Used King for predicting SI, Curtis 1974 is for high elevation"
WH,wiley_1978,wiley_1978,hann_1987,wiley_1978,
RA,harrington_1986,harrington_1986,porter_1965,harrington_1986,
PP,barrett_1978,barrett_1978,hann_1987,barrett_1978,
WF,cochran_wf_1979,cochran_wf_1979,hann_1987,cochran_wf_1979,
SS,farr_1984,NA,NA,NA,
LP,dahms_1964,dahms_1964,dahms_1964,dahms_1964,
NF,herman_1978,herman_1978,NA,herman_1978,
SP,curtis_1990,curtis_1990,hann_1987,barrett_1978,
RC,farr_1984,curtis_1974,hann_1987,hegyi_1979,
RF,dolph_1991,dolph_1991,dolph_1987,NA,
IC,barrett_1978,barrett_1978,hann_1987,cochran_wf_1979,
SF,hoyer_1989,hoyer_1989,NA,cochran_wf_1979,
GF,cochran_wf_1979,cochran_wf_1979,NA,cochran_wf_1979,
WP,curtis_1990,curtis_1990,hann_1987,brickell_1970,
MH,means_1986,means_1986,dolph_1987,means_1986,
JP,barrett_1978,barrett_1978,hann_1987,NA,
OC,curtis_1974,curtis_1974,hann_1987,cochran_df_1979,
OH,curtis_1974,curtis_1974,porter_1965,curtis_1974,
OT,curtis_1974,curtis_1974,hann_1987,cochran_df_1979,
